ID,fire,lst,Lst in K,ta,ndvi
3_2019294,163_2019294,NA,#VALUE!,5,NA
4_2019172,164_2019172,NA,#VALUE!,5,NA
5_2019074,165_2019074,NA,#VALUE!,5,NA
7_2019283,167_2019283,NA,#VALUE!,6.121621622,NA
9_2019217,169_2019217,NA,#VALUE!,5,NA
7_2018265,17_2018265,NA,#VALUE!,5,NA
0_2019255,170_2019255,NA,#VALUE!,7.883105426,NA
1_2019177,171_2019177,NA,#VALUE!,5.034599156,NA
2_2019150,172_2019150,NA,#VALUE!,5,NA
3_2019184,173_2019184,NA,#VALUE!,5,NA
4_2019213,174_2019213,NA,#VALUE!,5,NA
5_2019214,175_2019214,NA,#VALUE!,5,NA
6_2019214,176_2019214,NA,#VALUE!,8.86159601,NA
7_2019214,177_2019214,NA,#VALUE!,NA,NA
8_2019160,178_2019160,NA,#VALUE!,NA,NA
9_2019159,179_2019159,NA,#VALUE!,NA,NA
0_2019175,180_2019175,NA,#VALUE!,NA,NA
1_2019177,181_2019177,NA,#VALUE!,5.034599156,NA
3_2019228,183_2019228,NA,#VALUE!,NA,NA
4_2019279,184_2019279,NA,#VALUE!,NA,NA
5_2019227,185_2019227,NA,#VALUE!,NA,NA
7_2019300,187_2019300,NA,#VALUE!,NA,NA
9_2019156,189_2019156,NA,#VALUE!,NA,NA
0_2019196,190_2019196,NA,#VALUE!,NA,NA
1_2019264,191_2019264,NA,#VALUE!,NA,NA
2_2019161,192_2019161,NA,#VALUE!,NA,NA
5_2019149,195_2019149,NA,#VALUE!,NA,NA
7_2019236,197_2019236,NA,#VALUE!,NA,NA
9_2019206,199_2019206,NA,#VALUE!,NA,NA
2_2018163,2_2018163,NA,#VALUE!,NA,NA
0_2019207,200_2019207,NA,#VALUE!,NA,NA
3_2019211,203_2019211,NA,#VALUE!,NA,NA
5_2019244,205_2019244,NA,#VALUE!,NA,NA
6_2019329,206_2019329,NA,#VALUE!,NA,NA
9_2019278,209_2019278,NA,#VALUE!,NA,NA
0_2019251,210_2019251,NA,#VALUE!,NA,NA
6_2019283,216_2019283,NA,#VALUE!,NA,NA
9_2019297,219_2019297,NA,#VALUE!,NA,NA
2_2018157,22_2018157,NA,#VALUE!,NA,NA
0_2019283,220_2019283,NA,#VALUE!,NA,NA
2_2019283,222_2019283,NA,#VALUE!,NA,NA
3_2018218,23_2018218,NA,#VALUE!,NA,NA
4_2018212,24_2018212,NA,#VALUE!,NA,NA
7_2018190,27_2018190,NA,#VALUE!,NA,NA
9_2018160,29_2018160,NA,#VALUE!,NA,NA
0_2018148,30_2018148,NA,#VALUE!,NA,NA
1_2018160,31_2018160,NA,#VALUE!,NA,NA
3_2018209,33_2018209,NA,#VALUE!,NA,NA
7_2018201,37_2018201,NA,#VALUE!,NA,NA
0_2018218,40_2018218,NA,#VALUE!,NA,NA
1_2018223,41_2018223,NA,#VALUE!,NA,NA
4_2018192,44_2018192,NA,#VALUE!,NA,NA
5_2018193,45_2018193,NA,#VALUE!,NA,NA
6_2018176,46_2018176,NA,#VALUE!,NA,NA
7_2018316,47_2018316,NA,#VALUE!,NA,NA
5_2018213,5_2018213,NA,#VALUE!,NA,NA
3_2018255,53_2018255,NA,#VALUE!,NA,NA
4_2018180,54_2018180,NA,#VALUE!,NA,NA
6_2018176,56_2018176,NA,#VALUE!,NA,NA
7_2018197,57_2018197,NA,#VALUE!,NA,NA
8_2018218,58_2018218,NA,#VALUE!,NA,NA
9_2018252,59_2018252,NA,#VALUE!,NA,NA
1_2018153,61_2018153,NA,#VALUE!,NA,NA
4_2018181,64_2018181,NA,#VALUE!,NA,NA
5_2018209,65_2018209,NA,#VALUE!,NA,NA
6_2018222,66_2018222,NA,#VALUE!,NA,NA
7_2018238,67_2018238,NA,#VALUE!,NA,NA
8_2018251,68_2018251,NA,#VALUE!,NA,NA
9_2018208,69_2018208,NA,#VALUE!,NA,NA
0_2018208,70_2018208,NA,#VALUE!,NA,NA
1_2018164,71_2018164,NA,#VALUE!,NA,NA
2_2018137,72_2018137,NA,#VALUE!,NA,NA
3_2018160,73_2018160,NA,#VALUE!,NA,NA
4_2018204,74_2018204,NA,#VALUE!,NA,NA
6_2018265,76_2018265,NA,#VALUE!,NA,NA
9_2018177,79_2018177,NA,#VALUE!,NA,NA
8_2018214,8_2018214,NA,#VALUE!,NA,NA
0_2018243,80_2018243,NA,#VALUE!,NA,NA
3_2018190,83_2018190,NA,#VALUE!,NA,NA
8_2018152,88_2018152,NA,#VALUE!,NA,NA
9_2018252,89_2018252,NA,#VALUE!,NA,NA
9_2018109,9_2018109,NA,#VALUE!,NA,NA
1_2018231,91_2018231,NA,#VALUE!,NA,NA
2_2018174,92_2018174,NA,#VALUE!,NA,NA
3_2018244,93_2018244,NA,#VALUE!,NA,NA
5_2018286,95_2018286,NA,#VALUE!,NA,NA
6_2018277,96_2018277,NA,#VALUE!,NA,NA
7_2018230,97_2018230,NA,#VALUE!,NA,NA
8_2018246,98_2018246,NA,#VALUE!,NA,NA
9_2018187,99_2018187,NA,#VALUE!,NA,NA
